"Step","final_run - learning rate_train","final_run - learning rate_train__MIN","final_run - learning rate_train__MAX"
"0","0.0003","0.0003","0.0003"
"50","0.0003","0.0003","0.0003"
"100","0.0003","0.0003","0.0003"
"150","0.0003","0.0003","0.0003"
"200","0.0003","0.0003","0.0003"
"250","0.0003","0.0003","0.0003"
"300","0.0003","0.0003","0.0003"
"350","0.0003","0.0003","0.0003"
"400","0.0003","0.0003","0.0003"
"450","0.0003","0.0003","0.0003"
"500","0.0003","0.0003","0.0003"
"550","0.0003","0.0003","0.0003"
"600","0.0003","0.0003","0.0003"
"650","0.0003","0.0003","0.0003"
"700","0.0003","0.0003","0.0003"
"750","0.0003","0.0003","0.0003"
"800","0.0003","0.0003","0.0003"
"850","0.0003","0.0003","0.0003"
"900","0.0003","0.0003","0.0003"
"950","0.0003","0.0003","0.0003"
"1000","0.0003","0.0003","0.0003"
"1050","0.0003","0.0003","0.0003"
"1100","0.0003","0.0003","0.0003"
"1150","0.0003","0.0003","0.0003"
"1200","0.0003","0.0003","0.0003"
"1250","0.0003","0.0003","0.0003"
"1300","0.0003","0.0003","0.0003"
"1350","0.0003","0.0003","0.0003"
"1400","0.0003","0.0003","0.0003"
"1450","0.0003","0.0003","0.0003"
"1500","0.0003","0.0003","0.0003"
"1550","0.0003","0.0003","0.0003"
"1586","0.00027","0.00027","0.00027"
"1636","0.00027","0.00027","0.00027"
"1686","0.00027","0.00027","0.00027"
"1736","0.00027","0.00027","0.00027"
"1786","0.00027","0.00027","0.00027"
"1836","0.00027","0.00027","0.00027"
"1886","0.00027","0.00027","0.00027"
"1936","0.00027","0.00027","0.00027"
"1986","0.00027","0.00027","0.00027"
"2036","0.00027","0.00027","0.00027"
"2086","0.00027","0.00027","0.00027"
"2136","0.00027","0.00027","0.00027"
"2186","0.00027","0.00027","0.00027"
"2236","0.00027","0.00027","0.00027"
"2286","0.00027","0.00027","0.00027"
"2336","0.00027","0.00027","0.00027"
"2386","0.00027","0.00027","0.00027"
"2436","0.00027","0.00027","0.00027"
"2486","0.00027","0.00027","0.00027"
"2536","0.00027","0.00027","0.00027"
"2586","0.00027","0.00027","0.00027"
"2636","0.00027","0.00027","0.00027"
"2686","0.00027","0.00027","0.00027"
"2736","0.00027","0.00027","0.00027"
"2786","0.00027","0.00027","0.00027"
"2836","0.00027","0.00027","0.00027"
"2886","0.00027","0.00027","0.00027"
"2936","0.00027","0.00027","0.00027"
"2986","0.00027","0.00027","0.00027"
"3036","0.00027","0.00027","0.00027"
"3086","0.00027","0.00027","0.00027"
"3136","0.00027","0.00027","0.00027"
"3172","0.000243","0.000243","0.000243"
"3222","0.000243","0.000243","0.000243"
"3272","0.000243","0.000243","0.000243"
"3322","0.000243","0.000243","0.000243"
"3372","0.000243","0.000243","0.000243"
"3422","0.000243","0.000243","0.000243"
"3472","0.000243","0.000243","0.000243"
"3522","0.000243","0.000243","0.000243"
"3572","0.000243","0.000243","0.000243"
"3622","0.000243","0.000243","0.000243"
"3672","0.000243","0.000243","0.000243"
"3722","0.000243","0.000243","0.000243"
"3772","0.000243","0.000243","0.000243"
"3822","0.000243","0.000243","0.000243"
"3872","0.000243","0.000243","0.000243"
"3922","0.000243","0.000243","0.000243"
"3972","0.000243","0.000243","0.000243"
"4022","0.000243","0.000243","0.000243"
"4072","0.000243","0.000243","0.000243"
"4122","0.000243","0.000243","0.000243"
"4172","0.000243","0.000243","0.000243"
"4222","0.000243","0.000243","0.000243"
"4272","0.000243","0.000243","0.000243"
"4322","0.000243","0.000243","0.000243"
"4372","0.000243","0.000243","0.000243"
"4422","0.000243","0.000243","0.000243"
"4472","0.000243","0.000243","0.000243"
"4522","0.000243","0.000243","0.000243"
"4572","0.000243","0.000243","0.000243"
"4622","0.000243","0.000243","0.000243"
"4672","0.000243","0.000243","0.000243"
"4722","0.000243","0.000243","0.000243"
"4758","0.0002187","0.0002187","0.0002187"
"4808","0.0002187","0.0002187","0.0002187"
"4858","0.0002187","0.0002187","0.0002187"
"4908","0.0002187","0.0002187","0.0002187"
"4958","0.0002187","0.0002187","0.0002187"
"5008","0.0002187","0.0002187","0.0002187"
"5058","0.0002187","0.0002187","0.0002187"
"5108","0.0002187","0.0002187","0.0002187"
"5158","0.0002187","0.0002187","0.0002187"
"5208","0.0002187","0.0002187","0.0002187"
"5258","0.0002187","0.0002187","0.0002187"
"5308","0.0002187","0.0002187","0.0002187"
"5358","0.0002187","0.0002187","0.0002187"
"5408","0.0002187","0.0002187","0.0002187"
"5458","0.0002187","0.0002187","0.0002187"
"5508","0.0002187","0.0002187","0.0002187"
"5558","0.0002187","0.0002187","0.0002187"
"5608","0.0002187","0.0002187","0.0002187"
"5658","0.0002187","0.0002187","0.0002187"
"5708","0.0002187","0.0002187","0.0002187"
"5758","0.0002187","0.0002187","0.0002187"
