checkpoint,epoch,eer,status,path
checkpoint-epoch9.pth,9,6.8113,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch9.pth
checkpoint-epoch17.pth,17,6.9866,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch17.pth
checkpoint-epoch11.pth,11,7.2342,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch11.pth
checkpoint-epoch4.pth,4,7.6247,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch4.pth
checkpoint-epoch18.pth,18,7.9538,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch18.pth
checkpoint-epoch12.pth,12,8.159,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch12.pth
checkpoint-epoch16.pth,16,8.3481,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch16.pth
checkpoint-epoch10.pth,10,8.5088,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch10.pth
checkpoint-epoch5.pth,5,8.5626,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch5.pth
checkpoint-epoch6.pth,6,8.7548,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch6.pth
checkpoint-epoch19.pth,19,9.1077,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch19.pth
checkpoint-epoch7.pth,7,9.2176,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch7.pth
checkpoint-epoch13.pth,13,10.39,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch13.pth
checkpoint-epoch1.pth,1,11.6215,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch1.pth
checkpoint-epoch2.pth,2,11.6792,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch2.pth
checkpoint-epoch15.pth,15,11.72,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch15.pth
checkpoint-epoch8.pth,8,11.7453,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch8.pth
checkpoint-epoch20.pth,20,12.3434,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch20.pth
model_best.pth,,12.3434,ok,/kaggle/working/project/model-with-eer/saved/testing/model_best.pth
checkpoint-epoch14.pth,14,12.5626,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch14.pth
checkpoint-epoch3.pth,3,14.7536,ok,/kaggle/working/project/model-with-eer/saved/testing/checkpoint-epoch3.pth
